team,season,matches,wins,win_rate,total_runs,total_wickets,avg_sr,avg_econ
Pakistan,2003,9,5,55.56,1845,51,52.251428571428576,2.025612244897959
Pakistan,2003/04,13,7,53.85,3051,78,61.792112676056334,2.1952816901408454
Pakistan,2004,7,4,57.14,1180,48,51.821866666666665,2.1822666666666666
Pakistan,2004/05,13,9,69.23,3154,84,63.95109589041096,2.564178082191781
Pakistan,2005,2,2,100.0,475,20,74.53863636363637,2.155
Pakistan,2005/06,13,5,38.46,2919,67,59.64953020134229,2.6200671140939598
Pakistan,2006,5,2,40.0,784,35,42.47924528301887,2.570188679245283
Pakistan,2006/07,15,6,40.0,2898,84,55.24259259259259,2.6439506172839504
Pakistan,2007/08,20,14,70.0,4905,138,63.24159090909091,2.4184090909090905
Pakistan,2008,8,5,62.5,1933,60,59.131264367816094,2.66183908045977
Pakistan,2008/09,5,3,60.0,933,35,53.73672727272727,2.862909090909091
Pakistan,2009,10,4,40.0,2107,57,56.373302752293576,2.42045871559633
Pakistan,2009/10,12,3,25.0,2460,84,58.71555555555556,2.2081481481481484
Pakistan,2010,8,3,37.5,1957,54,70.18934065934066,2.579120879120879
Pakistan,2010/11,19,11,57.89,3900,118,61.4007,2.5655
Pakistan,2011,8,6,75.0,1680,44,46.855294117647055,2.4969411764705884
Pakistan,2011/12,16,10,62.5,3169,114,57.329771428571426,2.3122285714285713
Pakistan,2012,8,2,25.0,1372,44,48.00475,2.2131250000000002
Pakistan,2012/13,8,4,50.0,1672,56,55.44264367816092,2.3922988505747127
Pakistan,2013,14,7,50.0,2917,88,54.13448051948051,2.20512987012987
Pakistan,2013/14,17,8,47.06,3920,114,59.92020942408377,2.731204188481675
Pakistan,2014,3,1,33.33,587,17,64.51818181818182,2.7763636363636364
Pakistan,2014/15,17,6,35.29,3834,108,65.8548404255319,2.8356382978723405
Pakistan,2015,11,5,45.45,2893,53,60.01716666666667,3.26375
Pakistan,2015/16,9,3,33.33,1956,58,54.6614,2.7699000000000003
Pakistan,2016,6,2,33.33,1616,32,67.20424242424244,3.3075757575757576
Pakistan,2016/17,8,4,50.0,2067,53,68.24488636363637,2.8379545454545454
Pakistan,2017,8,6,75.0,1778,59,49.750344827586204,2.8849425287356323
Pakistan,2017/18,10,5,50.0,1892,72,57.414351851851855,2.5533333333333332
Pakistan,2018,9,6,66.67,1962,60,45.68288659793814,2.44319587628866
Pakistan,2018/19,13,3,23.08,3118,59,61.33732394366197,2.719647887323944
Pakistan,2019,12,4,33.33,3102,72,81.07256,3.2933600000000003
Pakistan,2019/20,2,2,100.0,583,17,69.91136363636363,2.6313636363636363
Pakistan,2020/21,3,2,66.67,735,26,78.53764705882354,2.2358823529411764
Pakistan,2021,6,2,33.33,1505,40,68.21121212121211,3.109848484848485
Pakistan,2021/22,3,2,66.67,777,24,52.57266666666666,3.368
Pakistan,2022,6,6,100.0,1497,53,65.89681818181818,2.3622727272727273
Pakistan,2022/23,3,1,33.33,703,24,69.61970588235295,2.731176470588235
Pakistan,2023,10,6,60.0,2318,74,56.3875,3.131388888888889
Pakistan,2023/24,8,4,50.0,1955,63,62.64146067415731,3.0669662921348313
Pakistan,2024/25,9,7,77.78,1824,82,56.1163829787234,2.5790425531914893
Papua New Guinea,2016/17,3,1,33.33,563,22,54.802727272727275,3.0627272727272725
Papua New Guinea,2017,2,1,50.0,357,15,63.15863636363636,3.1127272727272723
